category_list,funding_total_usd,country_code,funding_rounds,label,Num_of_investor,funding_duration,first_funding_at_UTC,last_funding_at_UTC
software,1300000.0,GBR,1,0,3.0,0.0,16006.0,16006
healthcare medicaldevices medicalprofessionals,1825000.0,USA,1,0,1.0,0.0,16413.0,16413
biotechnology,28272646.0,USA,4,0,2.0,1071.0,15035.0,16106
mobile,12000000.0,USA,2,0,3.0,426.0,13300.0,13726
advertising dataprivacy internetserviceproviders,7500000.0,CAN,2,1,5.0,663.0,14553.0,15216
hardware+software wearables,36824722.0,USA,4,1,1.0,1458.0,14950.0,16408
nanotechnology,20250000.0,USA,3,1,5.0,1582.0,12022.0,13604
mobile,26500000.0,USA,4,1,5.0,1069.0,11610.0,12679
communicationsinfrastructure wireless,12000000.0,USA,1,1,3.0,0.0,11661.0,11661
advice consulting financialservices healthandinsurance healthcare hospitals,4000000.0,USA,2,0,1.0,576.0,15768.0,16344
allstudents hospitality travel,278088.0,ESP,1,0,6.0,0.0,16197.0,16197
customerservice e-commerce specialtyfoods,1250000.0,IDN,2,0,3.0,385.0,16244.0,16629
organicfood,499367.0,GBR,1,0,1.0,0.0,16161.0,16161
e-commerce fashion,5000000.0,IDN,2,0,3.0,321.0,15708.0,16029
banking fintech,291841.0,ESP,2,0,3.0,308.0,16384.0,16692
content education socialnetworkmedia,4000000.0,RUS,1,0,1.0,0.0,16043.0,16043
developmentplatforms e-commerce education marketplaces socialmedia,2000000.0,USA,2,0,6.0,403.0,16233.0,16636
b2b creative enterprises enterprisesoftware media mobile startups technology,75000.0,USA,1,0,2.0,0.0,16024.0,16024
e-commerce,3911643.0,USA,5,0,1.0,985.0,15239.0,16224
healthcare,2100000.0,USA,2,0,1.0,124.0,14826.0,14950
curatedweb,875000.0,USA,3,0,10.0,662.0,15131.0,15793
broadcasting iphone news services video,1470551.0,GBR,2,0,1.0,1472.0,13071.0,14543
healthcare,65500000.0,USA,2,0,2.0,494.0,15078.0,15572
education,15906680.0,CHN,1,0,2.0,0.0,15614.0,15614
publictransportation,27804097.0,CHN,3,0,3.0,1492.0,13514.0,15006
internet trading,700000.0,USA,1,0,1.0,0.0,16161.0,16161
cleantechnology,21500000.0,CHN,1,0,1.0,0.0,14666.0,14666
curatedweb,3450000.0,USA,1,1,2.0,0.0,13732.0,13732
financialservices,3000000.0,IND,1,0,3.0,0.0,16700.0,16700
news,38930000.0,USA,2,1,2.0,798.0,14070.0,14868
fashion onlineshopping shopping,248000000.0,DEU,1,0,1.0,0.0,15559.0,15559
education,10000000.0,CHN,3,0,2.0,1188.0,13787.0,14975
b2b networksecurity software,4225000.0,USA,4,1,9.0,320.0,15051.0,15371
e-commerce fashion shoes,10000000.0,IND,1,0,1.0,0.0,15492.0,15492
humanresources professionalservices recruiting startups,77594.35023165849,ESP,1,0,6.0,0.0,16668.0,16668
medicaldevices,2000000.0,ISR,2,0,2.0,4039.0,12485.0,16524
games,18500000.0,GBR,2,0,30.0,484.0,15530.0,16014
e-commerce fashion,23204000.0,USA,5,0,7.0,2136.0,14593.0,16729
enterprisesoftware saas,618000.0,USA,2,0,11.0,38.0,16622.0,16660
e-commerce,59063.0,KOR,2,1,1.0,78.0,14379.0,14457
coworking socialmedia,47500000.0,USA,3,0,23.0,2153.0,13879.0,16032
android bigdata cloudcomputing clouddataservices filesharing generalpublicworldwide ios mobiledevices,55000.0,USA,2,0,2.0,107.0,16207.0,16314
curatedweb gambling,5000000.0,GBR,1,0,1.0,0.0,13879.0,13879
healthandwellness technology,5000000.0,USA,1,0,2.0,0.0,16176.0,16176
consumergoods recycling storage,1500000.0,USA,2,0,4.0,264.0,16101.0,16365
informationtechnology,2512245.0,USA,2,0,3.0,56.0,16335.0,16391
cleantechnology,925000000.0,USA,6,1,10.0,1828.0,13818.0,15646
healthcare medicaldevices mobility,600000.0,USA,3,0,5.0,645.0,15838.0,16483
cloudsecurity enterprisesoftware googleapps saas,46850000.0,USA,5,0,27.0,1050.0,15470.0,16520
socialnetworkmedia,7700000.0,USA,2,0,11.0,404.0,16170.0,16574
apps consumers doctors healthandwellness healthcare internet marketplaces mobile saas search,13125000.0,USA,3,0,21.0,791.0,15461.0,16252
e-commerce,37000000.0,USA,4,0,16.0,1477.0,14245.0,15722
healthandwellness mhealth,443000.0,USA,3,0,2.0,306.0,15492.0,15798
allstudents curatedweb education teachers,2500000.0,USA,3,0,4.0,1066.0,14872.0,15938
curatedweb,5358914.0,USA,3,0,7.0,1333.0,14330.0,15663
education k-12education,29910691.0,DEU,5,0,5.0,1464.0,14294.0,15758
finance investmentmanagement,105000000.0,USA,5,0,23.0,1569.0,14914.0,16483
enterprisesoftware informationtechnology saas,15000000.0,USA,3,0,9.0,1391.0,14945.0,16336
e-books e-commerce internet,4500000.0,USA,1,0,1.0,0.0,15362.0,15362
consulting gambling sports,14168.0,MDA,1,0,1.0,0.0,14457.0,14457
games,2000000.0,ESP,1,0,1.0,0.0,14231.0,14231
curatedweb networking socialnetworkmedia training women,200000.0,USA,2,0,1.0,261.0,15584.0,15845
mobile photosharing,4000000.0,KOR,3,0,8.0,832.0,15279.0,16111
analytics businessintelligence datavisualization socialmedia socialnetworkmedia software,1700000.0,ESP,1,0,1.0,0.0,14669.0,14669
3d 3dprinting cad saas software webdevelopment,661260.0,ESP,6,0,7.0,516.0,15675.0,16191
consumerelectronics,8000000.0,USA,3,0,3.0,428.0,16344.0,16772
webhosting,10000000.0,USA,1,1,4.0,0.0,12891.0,12891
distribution retail software,6090000.0,USA,3,0,2.0,459.0,16157.0,16616
coupons e-commerce groupbuying hospitality nightclubs,100000.0,USA,1,0,1.0,0.0,15114.0,15114
socialmedia,1200000.0,USA,1,0,2.0,0.0,13787.0,13787
consulting security,14000000.0,USA,1,0,1.0,0.0,16273.0,16273
curatedweb,1050000.0,CAN,2,0,3.0,95.0,16051.0,16146
recruiting,13500000.0,USA,2,0,2.0,3465.0,10134.0,13599
software,7000000.0,CAN,1,0,2.0,0.0,13843.0,13843
marketplaces,75000.0,USA,2,0,2.0,30.0,15064.0,15094
software,1060000.0,IRL,1,0,1.0,0.0,14547.0,14547
developmentplatforms mobile mobilegames,800000.0,USA,2,0,9.0,435.0,15979.0,16414
b2b healthandwellness healthcare mobileemergency&health software,1159500.0,USA,5,0,3.0,1046.0,14913.0,15959
consumers healthandwellness healthcare specialtyfoods,17000000.0,USA,2,0,3.0,443.0,16280.0,16723
mobile music,87000000.0,USA,2,0,3.0,319.0,14721.0,15040
bigdata realestate saas travel,1500000.0,USA,1,0,5.0,0.0,16520.0,16520
fashion,98600000.0,TUR,7,0,21.0,1707.0,14637.0,16344
analytics bigdata cloudcomputing healthandwellness internetofthings mobile personalhealth,7100000.0,ISR,3,0,4.0,498.0,15833.0,16331
analytics software,9000000.0,USA,1,0,1.0,0.0,16119.0,16119
enterprisesoftware,13100000.0,USA,3,0,12.0,1120.0,12788.0,13908
consumerelectronics mobile wearables wireless,1200000.0,USA,1,0,1.0,0.0,16648.0,16648
design e-commerce marketplaces,2250000.0,USA,1,0,20.0,0.0,16375.0,16375
biotechnology healthcare,96029290.0,USA,8,1,5.0,5163.0,11413.0,16576
publictransportation,323351.0,GBR,1,0,1.0,0.0,15630.0,15630
consumergoods nonprofit organic,3000000.0,USA,2,0,3.0,790.0,15706.0,16496
hospitality,39000000.0,USA,1,0,1.0,0.0,16140.0,16140
cleantechnology,15350000.0,IND,2,0,1.0,476.0,15160.0,15636
curatedweb match-making,11750000.0,IND,1,0,3.0,0.0,13914.0,13914
e-commerce,22000000.0,IDN,1,0,1.0,0.0,16750.0,16750
aerospace engineeringfirms miningtechnologies pharmaceuticals wastemanagement,4438488.0,GBR,1,0,1.0,0.0,16252.0,16252
analytics,6570000.0,FRA,1,0,2.0,0.0,13270.0,13270
advertising businessintelligence,7000000.0,USA,3,0,8.0,852.0,15584.0,16436
healthcare,44271141.0,USA,7,0,5.0,1914.0,14712.0,16626
fashion fitness healthandwellness women,3300000.0,USA,4,0,2.0,655.0,15535.0,16190
biotechnology,1694742.0,PHL,1,0,2.0,0.0,16699.0,16699
analytics biotechnology healthcare,3572446.0,DEU,2,0,5.0,1817.0,14882.0,16699
diagnostics healthcare healthdiagnostics,11988175.7201105,IRL,2,1,4.0,1000.0,13502.0,14502
adtargeting advertising webtools,25071584.0,USA,2,0,2.0,2083.0,13363.0,15446
collaborativeconsumption e-commerce fashion filesharing,600000.0,USA,1,0,1.0,0.0,15868.0,15868
mobile,15515000.0,USA,2,0,7.0,144.0,15737.0,15881
e-commerce fashion retail women,48600000.0,IND,1,0,2.0,0.0,16044.0,16044
digitalmedia education,42183.0,GBR,2,0,5.0,217.0,16283.0,16500
software,240000.0,GBR,1,0,1.0,0.0,13692.0,13692
software,2145715.0,FRA,1,0,4.0,0.0,16548.0,16548
biotechnology healthcare medical,250000000.0,CHN,2,0,3.0,851.0,14549.0,15400
biotechnology,38027784.0,GBR,2,0,10.0,673.0,15684.0,16357
auctions e-commerce entertainment experiencedesign,1430000.0,ESP,3,0,5.0,521.0,15776.0,16297
e-commerce shopping,16700000.0,USA,4,0,3.0,2861.0,13117.0,15978
onlineshopping,95954.0,ESP,1,0,4.0,0.0,16066.0,16066
applicationplatforms lowbidauctions realtime,1000000.0,ISR,1,0,1.0,0.0,16699.0,16699
analytics,24600000.0,USA,3,0,6.0,1106.0,15635.0,16741
auctions nonprofits saas software,16579175.0,USA,10,0,7.0,1979.0,14336.0,16315
advertising advertisingexchanges advertisingplatforms algorithms mobile mobileadvertising paas saas,500000.0,SGP,1,1,1.0,0.0,16040.0,16040
advertising publishing socialmediamarketing,26797834.0,USA,2,0,3.0,1292.0,15340.0,16632
e-commerce financialservices insurance,8900000.0,BRA,1,0,1.0,0.0,16188.0,16188
localadvertising localservices marketplaces,1640000.0,GBR,2,0,2.0,123.0,16344.0,16467
realtors,400000.0,AUS,1,0,1.0,0.0,16612.0,16612
entertainment music video,500000.0,USA,1,0,1.0,0.0,13818.0,13818
software,40000.0,USA,1,0,1.0,0.0,15749.0,15749
discounts retail shopping,552500.0,USA,3,0,3.0,153.0,15492.0,15645
bigdata e-commerce software travel,2440000.0,GBR,2,0,4.0,344.0,16344.0,16688
bigdata bigdataanalytics consulting machinelearning software,6807327.0,GBR,2,0,2.0,336.0,16226.0,16562
bigdataanalytics enterprises,650000.0,USA,1,0,1.0,0.0,16162.0,16162
manufacturing,1150000.0,USA,2,0,1.0,119.0,16612.0,16731
designers serviceproviders webdevelopment,41250.0,HKG,1,0,1.0,0.0,16648.0,16648
email,6500000.0,USA,1,0,1.0,0.0,12045.0,12045
entertainment gambling games mobile videogames videostreaming,95244796.0,USA,2,1,4.0,1314.0,14134.0,15448
advertising video videostreaming,3425000.0,USA,2,1,14.0,118.0,15400.0,15518
publicrelations,450000.0,USA,1,1,1.0,0.0,13822.0,13822
healthcare ios medical,3300000.0,GBR,1,0,2.0,0.0,16188.0,16188
android augmentedreality coupons datavisualization iphone mobile qrcodes rim webtools,700000.0,USA,1,0,1.0,0.0,14140.0,14140
apps finance fintech mobile seniorcitizens,122738.0,CZE,2,0,2.0,181.0,16010.0,16191
chat fashion music socialmedia socialnetworkmedia television video videostreaming,4715359.0,USA,5,0,1.0,847.0,14998.0,15845
software,250000.0,USA,2,0,1.0,318.0,15340.0,15658
entertainment games,10600000.0,USA,2,1,6.0,775.0,13573.0,14348
software,44300000.0,USA,3,0,13.0,549.0,14791.0,15340
businessservices media sports,10731587.6617404,GBR,1,0,1.0,0.0,16720.0,16720
telecommunications webhosting,42000000.0,USA,2,1,7.0,357.0,11869.0,12226
hospitality,18783.0,GBR,1,0,1.0,0.0,15320.0,15320
e-commerce groceries onlineshopping,85799999.0,IND,3,0,6.0,484.0,16175.0,16659
e-commerce onlineshopping webdevelopment,125204369.0,USA,5,0,9.0,1381.0,15187.0,16568
curatedweb,4500000.0,USA,1,0,3.0,0.0,14448.0,14448
biotechnology,3027477.0,GBR,2,0,2.0,351.0,13835.0,14186
advertising brandmarketing customerservice entrepreneur gamemechanics gamification,13065000.0,USA,7,0,4.0,915.0,14518.0,15433
security,26400000.0,USA,3,1,7.0,1814.0,11956.0,13770
healthcareservices medicaldevices mobilehealth,12350000.0,USA,3,0,3.0,276.0,16392.0,16668
email emailmarketing services,6000000.0,USA,1,1,9.0,0.0,11710.0,11710
hardware+software interfacedesign technology,20750000.0,USA,3,1,7.0,1352.0,13213.0,14565
internet,1500000.0,USA,1,0,4.0,0.0,16526.0,16526
travel,25000000.0,RUS,2,0,2.0,278.0,15340.0,15618
applicationperformancemonitoring cloudinfrastructure datacenters developertools enterprisesoftware infrastructure itmanagement saas software,23000000.0,USA,2,0,5.0,338.0,16371.0,16709
freetoplaygaming game games mmogames publishing,460488000.0,DEU,2,0,4.0,1051.0,14039.0,15090
android apps software,2238677.0,CAN,4,0,3.0,411.0,15309.0,15720
customerservice design e-commerce webhosting,6500000.0,GBR,1,0,8.0,0.0,11590.0,11590
beauty,1000000.0,IND,1,0,2.0,0.0,16747.0,16747
saas sports,5000000.0,USA,2,0,4.0,258.0,16182.0,16440
curatedweb networking,8000000.0,USA,2,1,2.0,588.0,13879.0,14467
software,3113168.0,USA,2,0,4.0,976.0,15250.0,16226
mobile,5000000.0,USA,1,0,1.0,0.0,16122.0,16122
software transportation,10000.0,USA,1,0,1.0,0.0,14304.0,14304
curatedweb,80300000.0,USA,2,0,1.0,5478.0,10804.0,16282
games music,25000.0,GHA,1,0,1.0,0.0,16175.0,16175
advertising,10000000.0,CHN,1,0,1.0,0.0,14039.0,14039
artificialintelligence developertools embeddedhardwareandsoftware robotics software videogames,384000.0,ESP,1,0,2.0,0.0,15650.0,15650
networking webhosting,169020.0,CZE,1,0,1.0,0.0,14635.0,14635
biotechnology healthdiagnostics nanotechnology,120000.0,USA,1,0,4.0,0.0,16267.0,16267
bicycles distribution manufacturing,520833.0,DNK,1,0,1.0,0.0,15644.0,15644
automotive,195072.0,GBR,2,0,2.0,409.0,15706.0,16115
insurance security,83457.0,DEU,1,0,5.0,0.0,16627.0,16627
finance,72407.0,GBR,1,0,1.0,0.0,15156.0,15156
software,250000.0,GBR,1,0,2.0,0.0,15065.0,15065
e-commerce mobile shopping transactionprocessing,40000.0,CHL,1,0,1.0,0.0,15324.0,15324
software,3750000.0,TUR,1,0,1.0,0.0,15944.0,15944
finance saas,129100000.0,USA,8,0,44.0,2963.0,13514.0,16477
billing financialservices saas subscriptionbusinesses,120000.0,USA,1,0,1.0,0.0,16267.0,16267
fashion,382106890.0,AUS,2,0,2.0,361.0,15541.0,15902
billing collaboration crm projectmanagement saas software tracking,196079.0,ESP,1,0,1.0,0.0,16317.0,16317
financialservices payments,15260000.0,USA,3,0,11.0,2283.0,13239.0,15522
e-commerce events promotional ticketing,2877820.0,GBR,1,0,1.0,0.0,15689.0,15689
accounting billing digitalmedia finance software,483410.0,IRL,2,0,2.0,730.0,15315.0,16045
businessdevelopment enterprisesoftware,500000.0,USA,1,0,1.0,0.0,14897.0,14897
consumerlending credit creditcards crowdsourcing fintech frauddetection itandcybersecurity personalfinance security,16500000.0,USA,3,1,16.0,1585.0,14757.0,16342
mobile,7240000.0,USA,4,0,6.0,222.0,14924.0,15146
billing saas software,18584.0,NLD,1,0,1.0,0.0,15492.0,15492
credit e-commerce payments,100000000.0,USA,3,1,5.0,640.0,13208.0,13848
e-commerce parenting teenagers youngadults,3400000.0,USA,1,0,1.0,0.0,14937.0,14937
billing cloudcomputing enterprisesoftware saas,3255000.0,SWE,3,0,1.0,1448.0,14862.0,16310
customersupporttools marketplaces onlineshopping,250000.0,USA,1,0,1.0,0.0,16191.0,16191
e-commerce,3100000.0,USA,2,0,2.0,166.0,15673.0,15839
curatedweb,9000000.0,USA,2,0,3.0,442.0,13724.0,14166
businessservices software,54000000.0,USA,3,0,4.0,3102.0,13438.0,16540
mobile,60400000.0,SWE,2,0,4.0,475.0,16162.0,16637
childcare kids parenting,500000.0,RUS,2,0,2.0,603.0,15748.0,16351
analytics,10304545.0,USA,4,1,10.0,831.0,15085.0,15916
apps games software,1800000.0,KOR,1,0,1.0,0.0,16497.0,16497
analytics healthcare reputation socialmediamanagement,21700000.0,USA,2,0,4.0,614.0,16092.0,16706
technology,400000.0,USA,1,0,1.0,0.0,16700.0,16700
genetictesting,20000.0,USA,1,0,1.0,0.0,16629.0,16629
biotechnology healthcare,137847684.0,USA,6,1,10.0,2124.0,13844.0,15968
collegerecruiting recruiting,43889.0,USA,1,0,2.0,0.0,16405.0,16405
cloudcomputing finance fintech insurance saas webdevelopment,500000.0,USA,1,0,1.0,0.0,15340.0,15340
e-commerce,1800000.0,USA,1,0,4.0,0.0,16218.0,16218
collaboration documentmanagement projectmanagement software,1250000.0,USA,2,0,4.0,623.0,13987.0,14610
manufacturing semiconductors telecommunications,38805883.0,USA,6,1,18.0,3569.0,12824.0,16393
appstores internet marketplaces mobile opensource software,1000000.0,USA,1,0,13.0,0.0,15978.0,15978
cleantechnology,33500000.0,USA,5,0,5.0,893.0,13969.0,14862
analytics biotechnology,925000.0,USA,2,0,1.0,512.0,15655.0,16167
biotechnology,135585460.0,USA,6,1,9.0,1155.0,15098.0,16253
biotechnology,2033700.0,ESP,1,0,1.0,0.0,13641.0,13641
biotechnology,896000.0,IRL,1,0,1.0,0.0,14767.0,14767
biotechnology,2700000.0,FRA,1,0,4.0,0.0,16036.0,16036
biotechnology,12150000.0,CAN,1,0,4.0,0.0,12923.0,12923
healthandwellness machinelearning,650000.0,USA,1,0,8.0,0.0,15918.0,15918
biotechnology healthdiagnostics,33213808.0,USA,11,0,4.0,2218.0,13546.0,15764
3d 3dprinting,1550000.0,USA,3,0,6.0,302.0,16379.0,16681
biotechnology healthdiagnostics,321184551.0,CHE,8,1,25.0,1785.0,14532.0,16317
cyber cybersecurity frauddetection,11600000.0,USA,3,0,5.0,838.0,15400.0,16238
biotechnology healthcare,17102999.0,USA,5,1,1.0,1699.0,13322.0,15021
biotechnology,2485000.0,USA,3,0,2.0,868.0,15201.0,16069
biotechnology,1900000.0,GBR,1,0,2.0,0.0,14626.0,14626
biotechnology,8347600.0,USA,2,0,2.0,463.0,15678.0,16141
biotechnology,2850000.0,ZAF,1,0,1.0,0.0,12962.0,12962
biotechnology,19024912.0,USA,5,0,3.0,2620.0,13353.0,15973
biotechnology,15000000.0,USA,1,0,2.0,0.0,16167.0,16167
biotechnology,1018959.43862128,GBR,1,1,1.0,0.0,13791.0,13791
biotechnology,8399999.0,USA,3,1,1.0,67.0,16244.0,16311
software,1010000.0,USA,5,0,2.0,455.0,15896.0,16351
biotechnology healthcare,48500002.0,USA,2,1,2.0,413.0,15107.0,15520
biotechnology,15350009.0,USA,2,0,3.0,1400.0,14595.0,15995
biotechnology,50000.0,USA,1,0,1.0,0.0,16155.0,16155
biotechnology,4450000.0,USA,2,0,3.0,1145.0,14827.0,15972
biotechnology,7410000.0,USA,1,0,3.0,0.0,13633.0,13633
3dprinting biotechnology healthandwellness,100000.0,PER,2,0,2.0,84.0,16384.0,16468
biotechnology healthdiagnostics,70000000.0,USA,2,1,2.0,225.0,15602.0,15827
biotechnology,7415000.0,USA,6,0,10.0,2627.0,13452.0,16079
biotechnology chemicals,13600000.0,USA,3,0,9.0,1143.0,15412.0,16555
biotechnology healthdiagnostics,6945919.0,GBR,3,0,9.0,688.0,14753.0,15441
cleantechnology,14660000.0,USA,2,0,4.0,779.0,13805.0,14584
fitness healthandwellness medical,3800000.0,ISR,2,0,3.0,1280.0,15095.0,16375
enterprisesoftware,13023790.0,USA,2,0,1.0,540.0,15918.0,16458
biotechnology,946520.0,USA,5,1,1.0,4376.0,11485.0,15861
biotechnology healthdiagnostics,26000000.0,USA,1,1,5.0,0.0,14110.0,14110
biotechnology healthandwellness mobilehealth,928942.0,USA,2,0,2.0,141.0,14496.0,14637
biotechnology,2389999.0,USA,4,0,2.0,1823.0,14463.0,16286
biotechnology,49024004.0,USA,3,1,1.0,1213.0,15166.0,16379
biotechnology,5000000.0,USA,1,0,2.0,0.0,14621.0,14621
biotechnology,196664126.0,USA,9,0,39.0,3042.0,12285.0,15327
biotechnology,63100000.0,ISR,4,1,3.0,3960.0,12542.0,16502
emergingmarkets energy outdoors technology,5000000.0,USA,1,0,6.0,0.0,16644.0,16644
biotechnology,26800000.0,USA,1,0,4.0,0.0,16744.0,16744
advancedmaterials manufacturing renewableenergies,50000.0,USA,1,0,2.0,0.0,16478.0,16478
biotechnology,61100000.0,USA,5,0,6.0,1890.0,14538.0,16428
biotechnology healthdiagnostics,1000000.0,ISR,1,0,1.0,0.0,15428.0,15428
analytics biotechnology,9216231.0,USA,3,0,1.0,660.0,15020.0,15680
agriculture green organic,1580000.0,SGP,1,0,1.0,0.0,15758.0,15758
cleantechnology consumerelectronics productdesign remediation,250000.0,USA,1,0,1.0,0.0,16436.0,16436
biotechnology,45000000.0,USA,1,0,1.0,0.0,15323.0,15323
biotechnology,1188702.0,USA,3,0,1.0,618.0,16076.0,16694
biotechnology mobilehealth security,1292799.0,USA,3,0,1.0,198.0,15901.0,16099
security,12000000.0,USA,1,0,2.0,0.0,11600.0,11600
security,9474450.0,GBR,3,0,3.0,1038.0,13333.0,14371
software,40000.0,CHL,1,0,1.0,0.0,15440.0,15440
biotechnology,2020000.0,USA,1,0,3.0,0.0,13783.0,13783
healthcare,12149999.0,USA,2,0,5.0,741.0,15513.0,16254
biotechnology,36618955.0,USA,3,1,7.0,1693.0,12727.0,14420
biotechnology healthdiagnostics,1000000.0,USA,1,1,3.0,0.0,14684.0,14684
biotechnology healthdiagnostics,2106889.0,PRT,2,0,5.0,1550.0,14963.0,16513
healthandwellness medical,11073775.0,GBR,2,0,4.0,291.0,16223.0,16514
biotechnology,4640000.0,DNK,1,0,1.0,0.0,14060.0,14060
biotechnology medical therapeutics,116185.0,GBR,1,0,1.0,0.0,15754.0,15754
biotechnology,81406790.0,USA,4,0,4.0,1065.0,15588.0,16653
biotechnology,43867126.0,FRA,2,0,7.0,1049.0,15639.0,16688
biotechnology healthdiagnostics maps,107182814.0,USA,7,0,18.0,2430.0,13964.0,16394
biotechnology,817620.0,ESP,1,0,1.0,0.0,15024.0,15024
healthcare healthdiagnostics,140000.0,USA,2,0,4.0,381.0,15568.0,15949
bio-pharm medical pharmaceuticals,6800000.0,USA,1,0,1.0,0.0,12240.0,12240
bio-pharm healthcare healthcareinformationtechnology,1300000.0,ISR,1,1,1.0,0.0,16322.0,16322
games,800000.0,USA,2,0,3.0,75.0,15356.0,15431
biotechnology,599205.0,USA,1,0,2.0,0.0,15932.0,15932
biotechnology healthdiagnostics,20469183.0,AUS,2,0,1.0,1120.0,14490.0,15610
biotechnology cosmetics,2390000.0,ESP,1,0,2.0,0.0,13070.0,13070
healthcare medical,1500000.0,USA,1,0,1.0,0.0,15645.0,15645
biotechnology,63320500.0,USA,3,0,1.0,2953.0,12699.0,15652
hardware+software,15400000.0,CAN,3,0,18.0,418.0,15918.0,16336
biotechnology,40000.0,CHL,1,0,1.0,0.0,15539.0,15539
cleantechnology,8000000.0,ISR,2,0,2.0,650.0,13488.0,14138
biotechnology,2000000.0,CAN,2,0,2.0,802.0,14225.0,15027
biotechnology,20369775.0,USA,3,1,1.0,439.0,16073.0,16512
biotechnology,8000000.0,DEU,1,0,2.0,0.0,12916.0,12916
hardware+software,1000000.0,USA,1,0,1.0,0.0,15979.0,15979
biotechnology,2600000.0,FRA,1,0,3.0,0.0,15614.0,15614
cleanenergy cleantechnology,1000000.0,CHE,3,0,2.0,358.0,16102.0,16460
biotechnology,5000000.0,USA,1,0,1.0,0.0,13074.0,13074
biotechnology media technology,16010000.0,USA,2,1,8.0,2012.0,11719.0,13731
healthcare medicaldevices,1650000.0,ISR,1,0,1.0,0.0,14042.0,14042
biotechnology,4650000.0,USA,3,0,1.0,1967.0,14328.0,16295
allstudents edtech education,40000.0,CHL,1,0,1.0,0.0,15329.0,15329
biotechnology,40664199.0,USA,7,0,11.0,1761.0,13675.0,15436
biotechnology,18000000.0,USA,1,1,2.0,0.0,14672.0,14672
biotechnology healthdiagnostics lifesciences,74639282.0,USA,6,0,5.0,2017.0,13878.0,15895
biotechnology,3307299.0,USA,4,1,1.0,2097.0,13038.0,15135
biotechnology,150000.0,USA,1,0,1.0,0.0,15180.0,15180
biotechnology,10000000.0,USA,1,1,1.0,0.0,13656.0,13656
biotechnology healthdiagnostics medical,4494680.0,IRL,2,0,7.0,1413.0,13914.0,15327
biotechnology,216000.0,SWE,1,0,1.0,0.0,13747.0,13747
biotechnology,11771486.0,USA,2,0,6.0,2469.0,12635.0,15104
bio-pharm biotechnology lifesciences,3392314.0,FIN,1,0,2.0,0.0,16232.0,16232
communities game internet,1500000.0,USA,1,0,3.0,0.0,14080.0,14080
technology,27000000.0,USA,1,0,4.0,0.0,12346.0,12346
biotechnology,5500000.0,USA,1,0,1.0,0.0,14228.0,14228
biotechnology,8320000.0,USA,2,0,5.0,139.0,13523.0,13662
biotechnology healthandwellness therapeutics,10099999.0,USA,2,0,4.0,2919.0,12286.0,15205
biotechnology infrastructure lifesciences,3900000.0,USA,2,0,3.0,67.0,15471.0,15538
biotechnology,1400000.0,CAN,1,0,4.0,0.0,14470.0,14470
biotechnology,1870081.0,DNK,1,0,2.0,0.0,16576.0,16576
biotechnology,3978000.0,USA,4,1,9.0,1358.0,13818.0,15176
biotechnology,11187700.0,FRA,3,1,2.0,1935.0,12874.0,14809
biotechnology,423000.0,AUS,1,1,1.0,0.0,14726.0,14726
hardware+software,3000000.0,USA,2,0,2.0,581.0,14280.0,14861
biotechnology,608000.0,DEU,1,0,2.0,0.0,13643.0,13643
biotechnology,5193705.0,USA,2,0,2.0,514.0,16126.0,16640
informationtechnology services software,5000000.0,USA,1,0,1.0,0.0,16713.0,16713
3d cloudcomputing medicaldevices saas software,2015106.0,GBR,2,0,1.0,1613.0,13879.0,15492
biotechnology,24213329.0,USA,2,1,4.0,1953.0,12446.0,14399
organicfood,106879.168331517,BGR,3,0,3.0,713.0,15966.0,16679
hardware hardware+software robotics,35000.0,IND,2,0,1.0,387.0,15838.0,16225
biotechnology,10870000.0,USA,1,0,3.0,0.0,13916.0,13916
diagnostics healthcare healthdiagnostics medicaldevices,12000000.0,USA,1,0,1.0,0.0,16371.0,16371
biotechnology medical pharmaceuticals,133314585.0,GBR,4,1,34.0,2227.0,12331.0,14558
biotechnology,6700000.0,USA,1,0,4.0,0.0,13291.0,13291
biotechnology,6513865.0,USA,1,0,3.0,0.0,15887.0,15887
curatedweb healthandwellness,1100000.0,USA,2,0,2.0,267.0,13614.0,13881
biotechnology,3345160.0,BEL,1,0,1.0,0.0,16035.0,16035
biotechnology,1933105.0,GBR,1,0,2.0,0.0,15617.0,15617
biotechnology,9300000.0,USA,4,0,1.0,1024.0,15062.0,16086
biotechnology healthandwellness,73000000.0,USA,4,1,18.0,1484.0,12772.0,14256
enterprises enterprisesoftware finance financetechnology financialservices fintech hedgefunds intellectualassetmanagement investmentmanagement stockexchanges,2000000.0,USA,1,0,3.0,0.0,16392.0,16392
beauty e-commerce marketplaces,71900000.0,USA,3,0,29.0,1272.0,14909.0,16181
bicycles manufacturing sportinggoods,74426.0,GBR,1,0,1.0,0.0,16071.0,16071
enterprisesoftware,2400000.0,USA,1,0,4.0,0.0,16107.0,16107
finance photography photosharing,1000000.0,USA,2,0,2.0,197.0,15477.0,15674
outsourcing,4000000.0,USA,1,0,2.0,0.0,16260.0,16260
hardware+software healthandwellness homeautomation internetofthings security,1272199.0,USA,3,0,4.0,418.0,16109.0,16527
apps mobile transportation,320000.0,IND,2,0,2.0,298.0,16045.0,16343
design,28000000.0,USA,1,1,2.0,0.0,15940.0,15940
